iter	RMSE
0	4170925.202
1	3964120.922
2	3780853.725
3	3620511.842
4	3476772.941
5	3350666.011
6	3238546.123
7	3140849.691
8	3057089.955
9	2982825.006
10	2918240.891
11	2859990.817
12	2809444.296
13	2765757.648
14	2724748.908
15	2687908.828
16	2658138.029
17	2631321.771
18	2607569.514
19	2588065.129
20	2566647.737
21	2549951.246
22	2536659.882
23	2523562.735
24	2509255.745
25	2496599.886
26	2486952.419
27	2478165.555
28	2469045.881
29	2462162.455
30	2453678.404
31	2448133.671
32	2441361.665
33	2436609.704
34	2431118.592
35	2427151.397
36	2421796.073
37	2418010.444
38	2413684.428
39	2409878.39
40	2404946.884
41	2402332.775
42	2399796.493
43	2395301.86
44	2392291.659
45	2390229.252
46	2387557.371
47	2384961.411
48	2382348.93
49	2380091.288
50	2377942.671
51	2376747.813
52	2373162.565
53	2369996.601
54	2368457.619
55	2365997.23
56	2363855.624
57	2362362.934
58	2359398.936
59	2358135.621
60	2356427.138
61	2354523.344
62	2353403.799
63	2350729.371
64	2349474.525
65	2348702.868
66	2346370.824
67	2343545.971
68	2342594.376
69	2340590.668
70	2339652.348
71	2338319.835
72	2335607.364
73	2334909.672
74	2333220.579
75	2332318.321
76	2330767.644
77	2329291.023
78	2327876.749
79	2326971.094
80	2326353.152
81	2325199.777
82	2324165.37
83	2322899.068
84	2322057.748
85	2321108.647
86	2320092.785
87	2319166.891
88	2318534.541
89	2316866.451
90	2315385.263
91	2314163.043
92	2313499.109
93	2312595.404
94	2311849.384
95	2310645.084
96	2309558.564
97	2308632.256
98	2306486.407
99	2305622.899
100	2304477.189
101	2302966.212
102	2302315.661
103	2300981.029
104	2299819.388
105	2298528.258
106	2297612.338
107	2296453.58
108	2295793.96
109	2295126.599
110	2293805.837
111	2293114.858
112	2292277.8
113	2291962.91
114	2291504.99
115	2290967.952
116	2290040.058
117	2289503.004
118	2288901.517
119	2287974.669
120	2286744.844
121	2285851.377
122	2285196.997
123	2284427.466
124	2283449.965
125	2282962.225
126	2281573.399
127	2281411.99
128	2280858.088
129	2280323.835
130	2279799.947
131	2279344.238
132	2278373.837
133	2277852.362
134	2277149.513
135	2277085.132
136	2276391.601
137	2275358.149
138	2274804.631
139	2274319.756
140	2273547.796
141	2273364.225
142	2273225.533
143	2272434.41
144	2271798.63
145	2271164.467
146	2270582.813
147	2269968.934
148	2268454.837
149	2267828.756
150	2267452.455
151	2266662.897
152	2266597.65
153	2265087.894
154	2263978.225
155	2263372.529
156	2262960.972
157	2261913.032
158	2261215.728
159	2260305.643
160	2258704.983
161	2257867.631
162	2257117.649
163	2255598.083
164	2255236.957
165	2254517.563
166	2253829.077
167	2253402.476
168	2252565.461
169	2251740.481
170	2250849.152
171	2250322.145
172	2249105.726
173	2248075.876
174	2246507.751
175	2245880.629
176	2244940.648
177	2244025.575
178	2243199.71
179	2242254.209
180	2241656.87
181	2241024.987
182	2240477.091
183	2239711.496
184	2239302.96
185	2238517.634
186	2238175.52
187	2237642.096
188	2237258.98
189	2236914.593
190	2236862.037
191	2236098.917
192	2235064.148
193	2235012.926
194	2233993.15
195	2233230.682
196	2233180.074
197	2232730.56
198	2231862.17
199	2231098.561
200	2230536.004
201	2229838.55
202	2228867.716
203	2227904.625
204	2227193.937
205	2226206.056
206	2225558.276
207	2224925.361
208	2223993.334
209	2223938.606
210	2223268.343
211	2222830.955
212	2222480.455
213	2221727.877
214	2220631.45
215	2219871.716
216	2219795.23
217	2218994.84
218	2218367.509
219	2217604.935
220	2216850.422
221	2216658.988
222	2215956.885
223	2215091.637
224	2214611.86
225	2213694.312
226	2212884.13
227	2212231.138
228	2211262.659
229	2210907.588
230	2210358.11
231	2210315.543
232	2209703.66
233	2208921.46
234	2208128.884
235	2207402.05
236	2206224.205
237	2205187.375
238	2204522.234
239	2203209.906
240	2202702.164
241	2202123.91
242	2201121.952
243	2200514.141
244	2200126.896
245	2199443.59
246	2198847.781
247	2198658.194
248	2198620.085
249	2198067.393
250	2197087.894
251	2196658.557
252	2196252.714
253	2195430.202
254	2194358.127
255	2193832.233
256	2193724.357
257	2193379.353
258	2192700.33
259	2192112.821
260	2191715.95
261	2191672.672
262	2191089.767
263	2190345.9
264	2189830.816
265	2189347.573
