iter	Passed	Remaining
0	35	13383
1	64	12226
2	95	12095
3	123	11711
4	151	11423
5	179	11270
6	207	11159
7	235	11034
8	263	10953
9	291	10878
10	321	10863
11	349	10794
12	375	10685
13	403	10638
14	431	10578
15	457	10494
16	484	10439
17	511	10373
18	538	10318
19	566	10278
20	593	10238
21	622	10210
22	650	10180
23	678	10144
24	705	10105
25	733	10066
26	760	10024
27	786	9965
28	813	9932
29	838	9869
30	865	9823
31	891	9776
32	919	9746
33	944	9696
34	972	9672
35	999	9635
36	1028	9620
37	1056	9589
38	1081	9537
39	1108	9505
40	1135	9474
41	1160	9424
42	1187	9389
43	1214	9358
44	1240	9318
45	1266	9278
46	1293	9245
47	1321	9220
48	1348	9190
49	1376	9165
50	1404	9140
51	1431	9109
52	1458	9078
53	1483	9038
54	1511	9011
55	1536	8974
56	1564	8946
57	1591	8917
58	1618	8888
59	1646	8863
60	1671	8825
61	1697	8787
62	1722	8750
63	1749	8720
64	1776	8693
65	1802	8656
66	1827	8618
67	1855	8593
68	1882	8565
69	1909	8539
70	1937	8513
71	1964	8484
72	1991	8457
73	2018	8430
74	2046	8405
75	2072	8371
76	2098	8338
77	2126	8313
78	2153	8287
79	2180	8257
80	2206	8225
81	2233	8197
82	2258	8163
83	2286	8138
84	2313	8111
85	2339	8080
86	2365	8049
87	2392	8021
88	2419	7991
89	2445	7961
90	2473	7935
91	2499	7907
92	2525	7873
93	2553	7849
94	2577	7814
95	2604	7787
96	2631	7759
97	2659	7734
98	2685	7704
99	2711	7674
100	2738	7645
101	2765	7618
102	2793	7593
103	2820	7565
104	2847	7540
105	2875	7514
106	2902	7487
107	2928	7456
108	2953	7423
109	2978	7393
110	3005	7365
111	3031	7334
112	3057	7305
113	3084	7278
114	3112	7253
115	3138	7222
116	3166	7199
117	3192	7169
118	3217	7137
119	3244	7110
120	3271	7083
121	3298	7056
122	3323	7024
123	3350	6997
124	3376	6970
125	3403	6941
126	3430	6914
127	3457	6888
128	3483	6859
129	3510	6831
130	3537	6804
131	3563	6775
132	3588	6745
133	3615	6717
134	3641	6690
135	3668	6663
136	3694	6633
137	3718	6602
138	3744	6573
139	3784	6568
140	3814	6546
141	3842	6521
142	3869	6493
143	3896	6466
144	3925	6442
145	3951	6414
146	3977	6385
147	4003	6356
148	4030	6329
149	4056	6300
150	4082	6272
151	4107	6242
152	4135	6216
153	4161	6187
154	4190	6164
155	4217	6136
156	4243	6108
157	4269	6079
158	4296	6053
159	4321	6022
160	4347	5994
161	4371	5963
162	4399	5938
163	4425	5910
164	4451	5881
165	4477	5853
166	4508	5830
167	4533	5801
168	4559	5773
169	4586	5746
170	4613	5719
171	4638	5690
172	4665	5662
173	4692	5636
174	4719	5609
175	4746	5582
176	4774	5556
177	4800	5529
178	4826	5500
179	4854	5474
180	4879	5445
181	4907	5419
182	4933	5391
183	4958	5362
184	4983	5333
185	5011	5307
186	5037	5279
187	5063	5251
188	5088	5223
189	5113	5194
190	5139	5166
191	5164	5138
192	5192	5111
193	5217	5083
194	5243	5055
195	5269	5027
196	5294	4998
197	5321	4972
198	5348	4945
199	5376	4919
200	5403	4892
201	5429	4864
202	5456	4838
203	5484	4812
204	5511	4785
205	5535	4756
206	5561	4729
207	5588	4701
208	5615	4674
209	5642	4648
210	5669	4621
211	5695	4594
212	5721	4566
213	5748	4539
214	5772	4510
215	5797	4481
216	5823	4454
217	5849	4427
218	5873	4398
219	5901	4372
220	5928	4345
221	5955	4319
222	5981	4291
223	6007	4264
224	6034	4237
225	6063	4212
226	6088	4184
227	6114	4156
228	6142	4131
229	6168	4103
230	6192	4074
231	6219	4048
232	6249	4023
233	6275	3995
234	6302	3969
235	6325	3940
236	6351	3912
237	6374	3883
238	6401	3856
239	6428	3830
240	6455	3803
241	6480	3775
242	6506	3748
243	6532	3721
244	6559	3694
245	6585	3667
246	6611	3640
247	6636	3612
248	6662	3585
249	6689	3558
250	6716	3532
251	6743	3505
252	6768	3477
253	6792	3449
254	6821	3424
255	6846	3396
256	6873	3369
257	6898	3342
258	6923	3314
259	6949	3287
260	6977	3261
261	7004	3234
262	7030	3207
263	7055	3180
264	7082	3153
265	7108	3126
266	7137	3100
267	7162	3073
268	7188	3046
269	7215	3019
270	7240	2992
271	7266	2965
272	7292	2938
273	7319	2911
274	7344	2884
275	7370	2857
276	7398	2831
277	7425	2804
278	7452	2778
279	7478	2751
280	7504	2723
281	7530	2697
282	7558	2670
283	7585	2644
284	7612	2617
285	7638	2590
286	7665	2564
287	7693	2537
288	7725	2512
289	7754	2486
290	7781	2460
291	7809	2433
292	7837	2407
293	7863	2380
294	7888	2353
295	7915	2326
296	7942	2299
297	7970	2273
298	7998	2246
299	8024	2220
300	8050	2193
301	8078	2166
302	8106	2140
303	8133	2113
304	8160	2087
305	8186	2059
306	8214	2033
307	8242	2007
308	8269	1980
